0.37,-0.06,6.76
0.47,-0.04,7.38
0.50,-0.06,7.71
-0.27,0.04,7.06
-0.80,0.02,6.96
-0.34,0.10,6.96
0.28,0.23,6.89
0.23,0.23,7.00
-0.05,0.17,7.25
-0.12,0.15,7.20
-0.11,0.24,7.10
-0.03,0.17,7.18
0.21,0.09,7.13
0.13,-0.05,6.66
0.23,0.60,7.86
-0.34,-0.03,6.94
-0.11,0.06,7.32
0.11,0.30,6.90
0.48,0.17,6.72
0.61,0.04,7.41
0.27,-0.00,7.04
0.03,-0.05,7.23
-0.08,-0.17,7.19
0.27,-0.03,7.15
0.53,-0.05,7.35
0.58,-0.15,7.19
0.33,-0.24,7.35
0.09,-0.11,7.13
0.13,-0.10,6.95
0.15,-0.03,7.16
0.47,-0.04,7.27
0.29,-0.04,7.13
0.05,-0.01,7.12
0.02,-0.06,7.21
0.05,0.00,7.10
0.34,0.00,7.19
0.50,0.01,7.56
0.24,-0.08,7.21
0.06,-0.07,7.07
0.05,-0.16,6.73
0.25,-0.03,7.08
0.41,-0.07,7.22
0.29,-0.15,7.11
0.35,-0.08,7.11
0.20,-0.15,7.22
0.11,-0.14,7.19
0.20,-0.02,7.12
0.35,-0.08,7.03
0.45,-0.02,7.15
0.20,-0.17,7.42
0.05,-0.07,7.18
0.06,0.03,7.04
0.06,0.02,6.99
0.32,0.12,7.13
0.43,0.06,7.25
0.20,0.04,7.07
0.03,0.06,7.01
-0.11,0.03,7.08
0.17,-0.00,7.03
0.48,0.06,7.12
0.48,0.05,7.34
0.15,-0.06,7.20
-0.19,-0.01,6.95
-0.07,-0.06,6.89
0.20,-0.16,6.65
0.48,0.04,7.06
0.36,-0.07,7.06
0.18,0.01,7.31
0.01,-0.10,7.35
-0.05,-0.11,7.40
0.22,-0.13,7.49
0.23,-0.09,7.36
0.44,0.15,7.41
0.24,-0.12,6.97
0.08,-0.01,7.02
-0.01,-0.07,6.93
-0.02,-0.07,6.94
0.19,-0.05,6.96
0.09,-0.20,6.96
0.01,-0.24,7.19
0.18,-0.14,7.28
0.07,-0.20,7.36
0.11,-0.17,6.94
0.43,-0.11,7.51
0.47,-0.13,7.39
-0.15,-0.27,7.20
-0.17,-0.12,6.74
0.05,0.04,7.26
0.12,-0.08,7.35
0.14,0.05,7.34
0.14,-0.06,7.10
0.28,0.03,7.06
0.27,0.00,7.20
0.10,0.12,7.03
0.13,0.15,7.30
0.11,0.10,7.39
0.26,0.26,7.04
0.03,0.08,6.84
0.09,0.13,6.97
0.16,0.24,7.21
-0.09,0.14,6.62
0.14,0.21,6.97
0.03,0.22,6.79
0.23,0.35,7.04
0.28,0.23,6.72
0.27,0.29,7.05
0.19,0.17,6.93
0.25,0.25,7.58
-0.19,0.30,7.47
